date,time,cyan_team,magenta_team,game_type,cyan_score,magenta_score
2025-07-16,08:00,,,Field Setup
2025-07-16,09:00,,,Challenge Track Setup
2025-07-16,09:30,RoboLions,TechWolves,Challenge Track
2025-07-16,10:00,ByteBears,,Test Game,15,
2025-07-16,10:30,,,Game Setup
2025-07-16,11:00,CyberCats,RoboLions,Challenge Track
2025-07-16,12:00,,,Open Testing
2025-07-16,16:00,,,Opening Ceremony
2025-07-16,17:00,,,Open Testing
2025-07-16,22:00,,,Venue Closed

2025-07-17,08:30,,,Game Setup
2025-07-17,09:00,TechWolves,MechMinds,Round Robin,42,15
2025-07-17,09:30,,,Game Setup
2025-07-17,10:00,ByteBears,RoboLions,Round Robin
2025-07-17,10:30,,,Game Setup
2025-07-17,11:00,CyberCats,TechWolves,Round Robin
2025-07-17,11:30,MechMinds,RoboLions,Challenge Track
2025-07-17,12:00,,,Open Testing
2025-07-17,14:00,,,Game Setup
2025-07-17,14:30,ByteBears,MechMinds,Round Robin
2025-07-17,15:00,,,Game Setup
2025-07-17,15:30,TechWolves,RoboLions,Round Robin
2025-07-17,16:00,CyberCats,ByteBears,Challenge Track
2025-07-17,16:30,,,Open Testing
2025-07-17,22:00,,,Venue Closed

2025-07-18,08:30,,,Game Setup
2025-07-18,09:00,MechMinds,RoboLions,Round Robin
2025-07-18,09:30,,,Game Setup
2025-07-18,10:00,TechWolves,CyberCats,Round Robin
2025-07-18,10:30,,,Game Setup
2025-07-18,11:00,ByteBears,MechMinds,Playoffs
2025-07-18,11:30,,,Game Setup
2025-07-18,12:00,TechWolves,RoboLions,Playoffs
2025-07-18,14:00,,,Open Testing
2025-07-18,15:00,CyberCats,ByteBears,Test Game
2025-07-18,16:00,MechMinds,RoboLions,Challenge Track
2025-07-18,22:00,,,Venue Closed

2025-07-19,08:00,,,TBD
2025-07-19,10:00,,,Game Setup
2025-07-19,10:30,ByteBears,TechWolves,Playoffs
2025-07-19,11:00,,,Game Setup
2025-07-19,11:30,CyberCats,RoboLions,Playoffs
2025-07-19,12:00,,,Open Challenge
2025-07-19,14:00,,,Challenge Track Setup
2025-07-19,14:30,MechMinds,TechWolves,Challenge Track
2025-07-19,15:00,,,RoboCup Picture
2025-07-19,16:00,,,Open Testing

2025-07-20,09:00,,,Game Setup
2025-07-20,09:30,RoboLions,CyberCats,Small Final
2025-07-20,10:30,,,Game Setup
2025-07-20,11:00,ByteBears,TechWolves,Final
2025-07-20,12:30,,,Closing Ceremony
2025-07-20,14:00,,,Teardown

